Orthogroup	Taxa	# species	omega	M7_lnL	M8_lnL	M8a_lnL	M8vsM7	M8vsM8a	M8vsM7_cor	M8vsM8a_cor	Positive Selection
group12225	buzzatii cluster	5	0.39615	-633.670489	-622.296389	-633.635389	1.14892355509433E-05	1.18996686829798E-05	True	True	True
group12380	buzzatii cluster	5	0.28426	-599.57129	-588.717724	-599.511589	1.93355342895662E-05	2.05250390514777E-05	True	True	True
group12267	buzzatii cluster	5	0.21554	-378.385122	-368.153004	-378.342841	3.59954505897431E-05	3.75500067497647E-05	True	True	True
group12231	buzzatii cluster	5	0.57105	-831.725234	-822.303348	-831.441725	8.09332351974224E-05	0.000107461598228	True	True	True
group12367	buzzatii cluster	5	0.2394	-715.643947	-706.478055	-715.163645	0.000104545100075	0.000169003691514	True	True	True
group12366	buzzatii cluster	5	0.01647	-411.389135	-403.275994	-411.388594	0.000299576424301	0.000299738538995	True	True	True
group12212	buzzatii cluster	5	0.22245	-340.037084	-332.957073	-340.036575	0.000841763888925	0.000842192455805	True	True	True
group12303	buzzatii cluster	5	0.01779	-403.982354	-396.928338	-403.98235	0.000863932428477	0.000863935884214	True	True	True
group12257	buzzatii cluster	5	0.48863	-240.374042	-233.368324	-240.371628	0.000906682703332	0.000908874079305	True	True	True
group12247	buzzatii cluster	5	0.01695	-680.107444	-673.264222	-680.882911	0.001066661075049	0.00049118535319	False	True	True
group12325	buzzatii cluster	5	0.27454	-380.305097	-374.012395	-380.367232	0.001849755150005	0.001738318521402	False	False	False
group12300	buzzatii cluster	5	0.00414	-792.430129	-787.007029	-792.328579	0.004413443743698	0.00488517583135	False	False	False
group12248	buzzatii cluster	5	0.32985	-708.544336	-703.681267	-708.526591	0.007726734118742	0.007865068759842	False	False	False
group12314	buzzatii cluster	5	0.20256	-464.520077	-459.692731	-464.153912	0.008007745645689	0.011548716196619	False	False	False
group12490	buzzatii cluster	5	0.79175	-1011.333944	-1006.564284	-1011.303636	0.00848326397943	0.008744310663295	False	False	False
group12277	buzzatii cluster	5	0.40224	-714.899449	-710.185236	-714.617302	0.008966920256933	0.011889899747266	False	False	False
group12230	buzzatii cluster	5	0.10652	-330.110135	-325.682854	-329.677783	0.011946929251832	0.01840875338581	False	False	False
group12222	buzzatii cluster	5	0.24694	-1520.804223	-1516.879938	-1520.760066	0.019756257546895	0.020648182045253	False	False	False
group12224	buzzatii cluster	5	0.70386	-345.316505	-341.547848	-345.302358	0.023083043006445	0.023411919639692	False	False	False
group12373	buzzatii cluster	5	0.52371	-1127.144738	-1123.883828	-1127.144687	0.038353480465253	0.038355436542636	False	False	False
group12385	buzzatii cluster	5	1.00854	-608.601064	-605.346471	-608.600975	0.038596526253255	0.038599961496958	False	False	False
group12384	buzzatii cluster	5	1.23031	-584.850162	-581.986392	-584.849651	0.057053263505898	0.057082425173719	False	False	False
group12372	buzzatii cluster	5	0.15966	-691.96452	-689.18184	-691.809617	0.061872466771378	0.072238870888476	False	False	False
group12317	buzzatii cluster	5	0.17332	-631.525891	-628.792184	-631.415334	0.064977969324934	0.072573894623777	False	False	False
group12315	buzzatii cluster	5	0.25818	-631.646576	-629.069469	-631.573574	0.075993535615823	0.081748730367351	False	False	False
group12309	buzzatii cluster	5	0.78804	-1968.642763	-1966.143925	-1968.638033	0.082180436831161	0.082570071055886	False	False	False
group12213	buzzatii cluster	5	0.07059	-788.228077	-785.924502	-788.065981	0.099901058279033	0.117480960127047	False	False	False
group12269	buzzatii cluster	5	0.09442	-669.435625	-667.20284	-669.429858	0.107229380078372	0.107849558478862	False	False	False
group12298	buzzatii cluster	5	0.29661	-324.286812	-322.248846	-324.212953	0.130293458433343	0.140281101722786	False	False	False
group12211	buzzatii cluster	5	0.33887	-1077.909542	-1076.555162	-1077.888274	0.258107271362106	0.263655487406099	False	False	False
group12226	buzzatii cluster	5	0.31683	-344.401031	-343.27246	-344.397676	0.323495200926431	0.324582349998359	False	False	False
group12374	buzzatii cluster	5	0.93972	-443.555317	-442.797343	-443.544087	0.468614879649135	0.473907084862042	False	False	False
group12388	buzzatii cluster	5	0.79012	-595.274298	-594.629986	-595.243426	0.52502363413697	0.541484953300074	False	False	False
group12297	buzzatii cluster	5	0.08488	-761.111875	-760.676574	-761.082175	0.647069869731654	0.666576078227335	False	False	False
group12363	buzzatii cluster	5	0.00149	-259.078501	-258.711585	-259.045184	0.692867843498874	0.716340977372665	False	False	False
group12327	buzzatii cluster	5	0.03953	-467.180445	-466.90586	-466.905831	0.759887411073809	1	False	False	False
group12335	buzzatii cluster	5	0.00277	-354.724104	-354.626589	-354.649286	0.907088735122739	0.977558639171144	False	False	False
group12383	buzzatii cluster	5	0.10535	-1274.799481	-1274.702965	-1274.753655	0.907995369557554	0.950573302585871	False	False	False
group12220	buzzatii cluster	5	0.42984	-1187.973753	-1187.884613	-1187.941286	0.91471750415918	0.944903002134917	False	False	False
group12271	buzzatii cluster	5	0.26613	-1658.561048	-1658.517404	-1658.527012	0.95729469372928	0.990438009361377	False	False	False
group12323	buzzatii cluster	5	0.42354	-371.500252	-371.458694	-371.49231	0.959293694693608	0.966942739367799	False	False	False
group12329	buzzatii cluster	5	0.14997	-764.603714	-764.598938	-764.60304	0.995235386952766	0.995906401710147	False	False	False
group12285	buzzatii cluster	5	0.91085	-621.263668	-621.261031	-621.313321	0.997366473830283	0.949053601386953	False	False	False
group12223	buzzatii cluster	5	0.19135	-379.034712	-379.033591	-379.032085	0.998879628085771	1	False	False	False
group12364	buzzatii cluster	5	0.00651	-615.541234	-615.541276	-615.541228	1	1	False	False	False
group12292	buzzatii cluster	5	0.0001	-423.354927	-423.354974	-423.354974	1	1	False	False	False
group12270	buzzatii cluster	5	0.1	-318.134986	-318.135083	-318.135083	1	1	False	False	False
group12263	buzzatii cluster	5	0.0001	-924.300001	-924.300695	-924.300693	1	1	False	False	False
group12307	buzzatii cluster	5	0.07002	-588.016609	-588.016612	-588.016604	1	1	False	False	False
group12382	buzzatii cluster	5	0.0001	-302.598396	-302.598541	-302.598418	1	1	False	False	False
group12259	buzzatii cluster	5	0.0001	-837.636557	-837.637072	-837.636707	1	1	False	False	False
group12258	buzzatii cluster	5	0.05043	-636.054666	-636.05476	-636.054761	1	0.999999000000503	False	False	False
group12376	buzzatii cluster	5	0.0001	-330.323307	-330.323577	-330.32347	1	1	False	False	False
group12252	buzzatii cluster	5	0.0001	-715.053193	-715.053658	-715.053533	1	1	False	False	False
group12239	buzzatii cluster	5	0.16044	-5606.903882	-5606.912409	-5606.901818	1	1	False	False	False
group12236	buzzatii cluster	5	0.0517	-727.835744	-727.835762	-727.835698	1	1	False	False	False
group12280	buzzatii cluster	5	0.1202	-1779.035297	-1779.035298	-1779.03012	1	1	False	False	False
group12365	buzzatii cluster	5	0.0001	-410.824914	-410.825038	-410.825037	1	1	False	False	False
group12284	buzzatii cluster	5	0.18595	-1088.000229	-1088.000239	-1088.000183	1	1	False	False	False
group12894	mulleri complex	4	1.3331	-1211.628475	-1204.127702	-1211.064454	0.000552657001129	0.000971419649729	True	True	True
group13068	mulleri complex	4	0.66441	-1565.428215	-1559.56312	-1564.978586	0.002836753541098	0.004447264904356	True	True	True
group13058	mulleri complex	4	0.3808	-1016.921445	-1014.953235	-1015.639252	0.139706707537898	0.503577830410433	False	False	False
group13070	mulleri complex	4	0.38152	-1179.011334	-1179.011334	-1179.011738	1	0.999596081597121	False	False	False
group13085	mulleri complex	4	0.08372	-708.761966	-708.762014	-708.761837	1	1	False	False	False
group14065	mojavensis cluster	3	0.93227	-2901.730837	-2850.354852	-2901.667471	0	0	True	True	True
group13540	mojavensis cluster	3	0.54516	-1552.212635	-1545.955831	-1552.132863	0.001917363909736	0.002076582012766	True	True	True
group14119	mojavensis cluster	3	1.16939	-664.853715	-659.136638	-664.757296	0.003289311521781	0.003622256879613	True	True	True
group14083	mojavensis cluster	3	0.66943	-1558.91785	-1554.483387	-1558.876292	0.011861433787653	0.01236475737646	False	False	False
group14075	mojavensis cluster	3	1.03716	-723.257135	-720.913229	-723.24707	0.095952116347247	0.096922750922676	False	False	False
group14097	mojavensis cluster	3	0.34452	-2046.866139	-2045.797886	-2046.854147	0.343608277036154	0.347753633373101	False	False	False
group14066	mojavensis cluster	3	0.69068	-458.693451	-457.744727	-458.58081	0.387234819975622	0.433404849721085	False	False	False
group14082	mojavensis cluster	3	0.6911	-1760.827078	-1760.041299	-1760.797042	0.455764522898065	0.469661526546142	False	False	False
group14063	mojavensis cluster	3	0.585	-527.010942	-526.922868	-527.001288	0.915693112925734	0.924576023054786	False	False	False
group14080	mojavensis cluster	3	0.0001	-266.845048	-266.845127	-266.845127	1	1	False	False	False
group14102	mojavensis cluster	3	0.04493	-264.794697	-264.794764	-264.794496	1	1	False	False	False
group13025	serido sibling set	4	0.58901	-1169.650707	-1133.519128	-1169.411468	2.22044604925031E-16	2.22044604925031E-16	True	True	True
group12828	serido sibling set	4	0.62334	-442.122428	-413.828602	-441.935993	5.15365528030998E-13	6.21058759975313E-13	True	True	True
group13038	serido sibling set	4	0.7038	-767.975802	-744.251244	-767.975081	4.97227814477697E-11	4.9758641651465E-11	True	True	True
group12800	serido sibling set	4	2.00258	-420.429288	-398.474779	-419.840328	2.91929480589204E-10	5.26089949381969E-10	True	True	True
group12804	serido sibling set	4	0.03319	-561.6976	-540.800256	-561.695296	8.40231217935639E-10	8.42169334269727E-10	True	True	True
group13062	serido sibling set	4	0.5027	-499.700665	-488.88498	-499.337369	2.00820334668172E-05	2.88791984160985E-05	True	True	True
group13056	serido sibling set	4	0.02272	-195.947309	-185.466822	-195.944159	2.80790447011459E-05	2.81676331455039E-05	True	True	True
group12850	serido sibling set	4	1.35655	-347.442067	-337.445434	-347.435923	4.55530489574807E-05	4.58337884388094E-05	True	True	True
group12789	serido sibling set	4	1.06074	-535.289241	-526.544838	-537.577626	0.000159350719802	1.61629657108309E-05	True	True	True
group12798	serido sibling set	4	0.26002	-1315.761835	-1307.388159	-1315.485555	0.000230865331029	0.00030433058401	True	True	True
group12811	serido sibling set	4	0.38354	-881.488346	-873.422057	-881.012853	0.000313946176239	0.000505078851143	True	True	True
group12810	serido sibling set	4	0.57834	-1292.601553	-1285.538384	-1292.549503	0.000856060933809	0.000901798910606	True	True	True
group12958	serido sibling set	4	0.34513	-1900.236939	-1894.020908	-1894.005853	0.001997156220533	1	False	False	False
group12882	serido sibling set	4	0.80053	-307.34022	-303.380009	-307.171545	0.019059092398821	0.022560921647893	False	False	False
group12862	serido sibling set	4	0.2493	-335.972132	-332.03289	-335.955403	0.019462962080697	0.019791296670765	False	False	False
group13036	serido sibling set	4	0.66756	-411.256267	-408.286706	-411.254962	0.051325837429491	0.051392861370947	False	False	False
group12796	serido sibling set	4	0.89532	-530.638085	-528.457392	-530.606639	0.112963219997486	0.11657190337638	False	False	False
group13031	serido sibling set	4	0.18543	-1219.188771	-1217.057952	-1218.861602	0.118740005953553	0.16469664703834	False	False	False
group12929	serido sibling set	4	0.5407	-1390.640566	-1389.681318	-1389.68394	0.383180929716193	0.99738143443967	False	False	False
group12908	serido sibling set	4	0.2765	-2987.442414	-2986.516356	-2986.461998	0.396112110686857	1	False	False	False
group13045	serido sibling set	4	1.20717	-978.098205	-977.366187	-978.076595	0.480937478333237	0.491443647543352	False	False	False
group13033	serido sibling set	4	0.5595	-355.747182	-355.375733	-355.74609	0.689734181375405	0.69048778249281	False	False	False
group13026	serido sibling set	4	0.26909	-820.916672	-820.556715	-820.903745	0.697706326798136	0.706784124416029	False	False	False
group12945	serido sibling set	4	0.32117	-2042.300399	-2041.976837	-2042.020745	0.723567095371717	0.95704200128699	False	False	False
group13030	serido sibling set	4	0.16587	-349.693232	-349.379225	-349.684829	0.730513914544123	0.736678286303659	False	False	False
group13027	serido sibling set	4	0.00462	-422.29171	-422.073187	-422.216335	0.803704994017208	0.866625798785518	False	False	False
group12910	serido sibling set	4	0.13946	-1630.087087	-1629.922514	-1629.922359	0.848255832008354	1	False	False	False
group12866	serido sibling set	4	0.00081	-352.552149	-352.417403	-352.55215	0.873937863716311	0.873936989778887	False	False	False
group12999	serido sibling set	4	0.94347	-11.040143	-10.967083	-11.015358	0.929545055649239	0.952871711323126	False	False	False
group12886	serido sibling set	4	0.49495	-439.522851	-439.453307	-439.522649	0.932819088441675	0.933007536930199	False	False	False
group12880	serido sibling set	4	0.00497	-346.511216	-346.501609	-346.518499	0.990438999799935	0.983251836388411	False	False	False
group12983	serido sibling set	4	0.46331	-1735.833383	-1735.82774	-1735.836195	0.994372891817975	0.991580642987802	False	False	False
group13057	serido sibling set	4	0.27463	-772.565873	-772.564155	-772.564153	0.99828347491726	1	False	False	False
group12820	serido sibling set	4	0.05688	-690.17441	-690.174446	-690.174358	1	1	False	False	False
group12841	serido sibling set	4	0.3533	-335.728689	-335.728689	-335.728688	1	1	False	False	False
group12799	serido sibling set	4	0.04352	-522.066046	-522.066059	-522.066036	1	1	False	False	False
group13032	serido sibling set	4	0.11831	-864.998839	-864.998841	-865.005044	1	0.993816198887062	False	False	False
group12857	serido sibling set	4	0.1794	-121.125725	-121.125778	-121.128843	1	0.996939692317285	False	False	False
group12884	serido sibling set	4	0.14835	-627.312111	-627.312158	-627.31189	1	1	False	False	False
group13008	serido sibling set	4	0.47293	-2286.250185	-2286.250213	-2286.255941	1	0.994288373714115	False	False	False
group12992	serido sibling set	4	0.60072	-1923.031551	-1923.031564	-1923.04576	1	0.985904288083828	False	False	False
group12980	serido sibling set	4	0.3496	-1222.788236	-1222.788247	-1222.782719	1	1	False	False	False
group12865	serido sibling set	4	0.25617	-1178.840957	-1178.84096	-1178.840939	1	1	False	False	False
group12930	serido sibling set	4	0.22499	-152.608865	-152.608976	-152.602787	1	1	False	False	False
group12919	serido sibling set	4	0.29789	-3027.239222	-3028.370294	-3026.531427	1	1	False	False	False
group12887	serido sibling set	4	0.46103	-344.445958	-344.445959	-344.445948	1	1	False	False	False
group12864	serido sibling set	4	0.0001	-271.812543	-271.812572	-271.812571	1	1	False	False	False
group12787	serido sibling set	4	0.0001	-412.207499	-412.207762	-412.207761	1	1	False	False	False
group7853	subgenus Drosophila	12	0.62098	-5176.918251	-5146.143861	-5169.566561	4.31876756579186E-14	6.72435440662866E-11	True	True	True
group8926	subgenus Drosophila	12	0.5208	-5620.578379	-5593.792823	-5616.060828	2.32902586105865E-12	2.13367545853771E-10	True	True	True
group8545	subgenus Drosophila	12	0.34549	-8882.648912	-8864.258091	-8875.238392	1.03031001508214E-08	1.70339695303445E-05	True	True	True
group8024	subgenus Drosophila	12	0.39449	-7292.46019	-7279.383147	-7285.08381	2.09272607454292E-06	0.0033437478176	True	False	False
group7799	subgenus Drosophila	12	0.36225	-6608.78718	-6596.296077	-6605.427304	3.75995713830513E-06	0.000108232702067	True	True	True
group8713	subgenus Drosophila	12	0.46404	-4455.636409	-4443.956974	-4450.305088	8.46614744398622E-06	0.0017500446099	True	False	False
group8697	subgenus Drosophila	12	0.42707	-6431.737353	-6421.904987	-6427.034164	5.36855865159725E-05	0.005921431807232	True	False	False
group8014	subgenus Drosophila	12	0.28275	-2437.582516	-2428.466595	-2434.026661	0.000109902054771	0.003848522386751	True	False	False
group8049	subgenus Drosophila	12	0.13927	-4058.230935	-4051.682035	-4055.83544	0.001431689591003	0.015710829929607	False	False	False
group8142	subgenus Drosophila	12	0.47356	-2075.475223	-2069.229922	-2074.074004	0.00193954668643	0.007874843243939	False	False	False
group8483	subgenus Drosophila	12	0.21526	-4065.925169	-4059.848993	-4062.729198	0.002296943391765	0.056123256387208	False	False	False
group8099	subgenus Drosophila	12	0.30552	-6847.017985	-6841.585809	-6841.58782	0.004373568555605	0.997991020706142	False	False	False
group8426	subgenus Drosophila	12	0.33247	-10448.286428	-10442.861471	-10442.87036	0.004405255583729	0.991150390359827	False	False	False
group9004	subgenus Drosophila	12	0.57638	-3413.235439	-3407.860822	-3410.928953	0.004632692715104	0.046507997124679	False	False	False
group8482	subgenus Drosophila	12	0.18758	-2330.623619	-2325.297657	-2327.136837	0.004863669912526	0.158947709805354	False	False	False
group8485	subgenus Drosophila	12	0.38575	-3509.707589	-3504.530762	-3508.002225	0.005645892439929	0.031071539729924	False	False	False
group8375	subgenus Drosophila	12	0.2682	-9176.316418	-9171.230548	-9172.321933	0.006183505100038	0.335751156183664	False	False	False
group8003	subgenus Drosophila	12	0.30208	-3292.745421	-3287.787289	-3290.715365	0.007026040224937	0.053499872941933	False	False	False
group8427	subgenus Drosophila	12	0.07737	-6925.499946	-6920.615232	-6921.70612	0.007561285980621	0.335918065981935	False	False	False
group7994	subgenus Drosophila	12	0.29301	-7758.869328	-7754.224446	-7754.231394	0.009610663651078	0.993076081546668	False	False	False
group9115	subgenus Drosophila	12	0.09598	-8451.143396	-8446.591349	-8446.590084	0.010545595440786	1	False	False	False
group8496	subgenus Drosophila	12	0.45466	-3795.521334	-3791.009236	-3795.340593	0.010975409594871	0.013149691246337	False	False	False
group8560	subgenus Drosophila	12	0.21462	-4357.099219	-4352.806842	-4355.899615	0.013672387376576	0.045375952267748	False	False	False
group9314	subgenus Drosophila	12	0.18178	-7054.740068	-7050.463424	-7052.883871	0.013889196100836	0.088881878378691	False	False	False
group8656	subgenus Drosophila	12	0.23063	-2208.298885	-2204.041749	-2206.158529	0.014162806658662	0.120418753291691	False	False	False
group8994	subgenus Drosophila	12	0.19302	-2802.266054	-2798.078433	-2800.754497	0.015182360780036	0.068833550520009	False	False	False
group8657	subgenus Drosophila	12	0.23846	-2950.238472	-2946.088517	-2949.700042	0.01576512589956	0.027010624240126	False	False	False
group8553	subgenus Drosophila	12	0.34704	-1596.227266	-1592.187732	-1594.133575	0.017605674748764	0.142866735901413	False	False	False
group8591	subgenus Drosophila	12	0.04491	-1659.420167	-1655.436403	-1658.124437	0.018615438791574	0.068014524569788	False	False	False
group8691	subgenus Drosophila	12	0.14278	-4037.817704	-4034.05887	-4037.195231	0.023310905050097	0.043440590933811	False	False	False
group9097	subgenus Drosophila	12	0.35707	-8076.448682	-8072.730405	-8074.342654	0.024275758965001	0.199438571968251	False	False	False
group8930	subgenus Drosophila	12	0.45514	-8443.008339	-8439.477281	-8440.997663	0.029273927661691	0.218628354966891	False	False	False
group8134	subgenus Drosophila	12	0.18531	-3808.909311	-3805.381763	-3805.981734	0.029376859687825	0.548827551862198	False	False	False
group8908	subgenus Drosophila	12	0.40905	-4616.501628	-4612.980559	-4616.499756	0.029567810278202	0.029623213059862	False	False	False
group8519	subgenus Drosophila	12	0.23535	-2018.661396	-2015.198605	-2018.48288	0.031342163852681	0.037467739359833	False	False	False
group9207	subgenus Drosophila	12	0.28747	-1727.528225	-1724.077578	-1724.080676	0.031725103594399	0.996906793850137	False	False	False
group8698	subgenus Drosophila	12	0.17584	-6034.233896	-6030.935967	-6030.93387	0.036959631592291	1	False	False	False
group8719	subgenus Drosophila	12	0.28394	-11670.830389	-11667.59371	-11669.198403	0.039294174603933	0.20095123747115	False	False	False
group8081	subgenus Drosophila	12	0.08142	-1148.738081	-1145.56438	-1146.818604	0.041848429903109	0.285297152937793	False	False	False
group8335	subgenus Drosophila	12	0.12255	-4244.058817	-4241.021149	-4241.006878	0.047946570626089	1	False	False	False
group8282	subgenus Drosophila	12	0.10676	-6003.026102	-6000.086981	-6000.193423	0.052912218143042	0.899027190226729	False	False	False
group9218	subgenus Drosophila	12	0.23053	-3204.457519	-3201.533904	-3203.553098	0.053739069005268	0.132762428485442	False	False	False
group7748	subgenus Drosophila	12	0.38516	-5896.413432	-5893.524288	-5894.615806	0.055623806216598	0.335706504249157	False	False	False
group8914	subgenus Drosophila	12	0.16471	-2807.343724	-2804.45987	-2804.754084	0.055918835816819	0.745117019338236	False	False	False
group8518	subgenus Drosophila	12	0.30204	-3857.094284	-3854.335354	-3854.333862	0.063359526796087	1	False	False	False
group8098	subgenus Drosophila	12	0.27125	-5488.651026	-5486.075493	-5486.882343	0.076113243626425	0.446261578502882	False	False	False
group8920	subgenus Drosophila	12	0.50873	-2721.078555	-2718.517424	-2720.05618	0.077217358205834	0.214647957467213	False	False	False
group8400	subgenus Drosophila	12	0.44011	-2210.662737	-2208.160957	-2210.290972	0.081939017288277	0.118835511306403	False	False	False
group8197	subgenus Drosophila	12	0.05498	-13586.541043	-13584.072273	-13583.978812	0.084688962388638	1	False	False	False
group9058	subgenus Drosophila	12	0.33451	-2243.85902	-2241.61748	-2242.746813	0.106294684456227	0.323248791477135	False	False	False
group8466	subgenus Drosophila	12	0.19059	-3487.452193	-3485.243124	-3485.742739	0.109802827376159	0.606764218974065	False	False	False
group9176	subgenus Drosophila	12	0.50997	-3292.271447	-3290.11969	-3292.171882	0.116279674799176	0.128453025730124	False	False	False
group8614	subgenus Drosophila	12	0.07958	-3040.661169	-3038.550856	-3038.556011	0.121200024888034	0.994858264210093	False	False	False
group8053	subgenus Drosophila	12	0.2307	-3101.9187	-3099.837954	-3101.759496	0.124837049014459	0.146381068403562	False	False	False
group8406	subgenus Drosophila	12	0.1612	-1163.436119	-1161.369126	-1162.353424	0.126565793411898	0.373701473311733	False	False	False
group8018	subgenus Drosophila	12	0.43153	-3586.568616	-3584.577254	-3586.569969	0.136509373006511	0.136324800716129	False	False	False
group8467	subgenus Drosophila	12	0.43852	-1445.877613	-1443.982928	-1444.160373	0.15036569278036	0.83740705545722	False	False	False
group7802	subgenus Drosophila	12	0.23315	-2798.031512	-2796.1988	-2797.405522	0.159979115562863	0.299176373971121	False	False	False
group8824	subgenus Drosophila	12	0.12571	-3316.646082	-3315.019208	-3315.797049	0.196543008273659	0.459396779032711	False	False	False
group8000	subgenus Drosophila	12	0.25447	-3096.646291	-3095.035375	-3095.721417	0.199704600853486	0.503565241121957	False	False	False
group8525	subgenus Drosophila	12	0.18171	-4297.264652	-4295.658796	-4295.890063	0.200717667029711	0.793527565887648	False	False	False
group7772	subgenus Drosophila	12	0.28908	-6159.11652	-6157.557314	-6158.854243	0.210302985497525	0.273370024616207	False	False	False
group8198	subgenus Drosophila	12	0.05598	-1980.096439	-1978.595667	-1978.620482	0.22295797013872	0.975490361053088	False	False	False
group8216	subgenus Drosophila	12	0.04357	-3171.376519	-3169.910082	-3169.924473	0.230746170873771	0.985712055490864	False	False	False
group8032	subgenus Drosophila	12	0.30751	-13479.904119	-13478.461964	-13478.853492	0.23641772911625	0.676023121582219	False	False	False
group7774	subgenus Drosophila	12	0.34342	-1598.561459	-1597.149426	-1598.427017	0.243647444049998	0.278707899722491	False	False	False
group7816	subgenus Drosophila	12	0.28671	-2156.993739	-2155.620066	-2155.739577	0.253175336663158	0.887354246868761	False	False	False
group8595	subgenus Drosophila	12	0.24215	-5045.856476	-5044.565516	-5045.899643	0.275006649942109	0.263388012852607	False	False	False
group8503	subgenus Drosophila	12	0.2329	-4860.719859	-4859.453831	-4859.451696	0.281949303225986	1	False	False	False
group8348	subgenus Drosophila	12	0.42892	-2739.828835	-2738.568089	-2739.854297	0.283442499505401	0.276316591498813	False	False	False
group8992	subgenus Drosophila	12	0.21647	-2604.697503	-2603.50021	-2603.546618	0.302010649193233	0.954652384549669	False	False	False
group8762	subgenus Drosophila	12	0.33278	-5410.688147	-5409.492102	-5409.49691	0.302387793772703	0.995203539930245	False	False	False
group8500	subgenus Drosophila	12	0.12863	-5374.891828	-5373.700105	-5374.358403	0.303697542144746	0.517731764496254	False	False	False
group7755	subgenus Drosophila	12	0.11913	-4023.484433	-4022.300206	-4022.860116	0.305982612665051	0.571260474978059	False	False	False
